region_id,center_node_idx,cell_id
UPMC_c002_v001_r001_reg010,3954,279327
UPMC_c002_v001_r001_reg010,1573,276912
UPMC_c002_v001_r001_reg010,4373,279750
UPMC_c002_v001_r001_reg010,236,275560
UPMC_c002_v001_r001_reg010,1370,276708
UPMC_c002_v001_r001_reg010,3754,279124
UPMC_c002_v001_r001_reg011,4559,286201
UPMC_c002_v001_r001_reg011,4171,285797
UPMC_c002_v001_r001_reg011,4890,286557
UPMC_c002_v001_r001_reg011,2897,284469
UPMC_c002_v001_r001_reg011,1543,283027
UPMC_c002_v001_r001_reg011,726,282167
UPMC_c002_v001_r001_reg013,3293,296568
UPMC_c002_v001_r001_reg013,546,293421
UPMC_c002_v001_r001_reg013,2623,295844
UPMC_c002_v001_r001_reg013,1302,294312
UPMC_c002_v001_r001_reg013,1525,294587
UPMC_c002_v001_r001_reg013,3568,296885
UPMC_c002_v001_r001_reg014,1047,300412
UPMC_c002_v001_r001_reg014,1779,301250
UPMC_c002_v001_r001_reg014,1190,300574
UPMC_c002_v001_r001_reg014,2066,301570
UPMC_c002_v001_r001_reg014,3913,303855
UPMC_c002_v001_r001_reg015,1374,306149
UPMC_c002_v001_r001_reg015,639,305195
UPMC_c002_v001_r001_reg015,2197,307275
UPMC_c002_v001_r001_reg015,1477,306267
UPMC_c002_v001_r001_reg018,277,316549
UPMC_c002_v001_r001_reg018,1239,317594
UPMC_c002_v001_r001_reg018,2109,318571
UPMC_c002_v001_r001_reg019,464,319191
UPMC_c002_v001_r001_reg019,1235,320009
UPMC_c002_v001_r001_reg019,983,319738
UPMC_c002_v001_r001_reg021,767,323359
UPMC_c002_v001_r001_reg021,1099,323694
UPMC_c002_v001_r001_reg021,483,323069
UPMC_c002_v001_r001_reg021,5535,328227
UPMC_c002_v001_r001_reg021,3777,326439
UPMC_c002_v001_r001_reg021,4296,326967
UPMC_c002_v001_r001_reg021,3323,325978
UPMC_c002_v001_r001_reg022,4347,333829
UPMC_c002_v001_r001_reg022,1294,330674
UPMC_c002_v001_r001_reg022,2758,332207
UPMC_c002_v001_r001_reg022,1505,330889
UPMC_c002_v001_r001_reg022,1044,330418
UPMC_c002_v001_r001_reg022,5257,334755
UPMC_c002_v001_r001_reg022,5079,334574
UPMC_c002_v001_r001_reg023,65,335959
UPMC_c002_v001_r001_reg023,5550,341714
UPMC_c002_v001_r001_reg023,2094,338061
UPMC_c002_v001_r001_reg023,5436,341586
UPMC_c002_v001_r001_reg023,4788,340873
UPMC_c002_v001_r001_reg023,3013,339015
UPMC_c002_v001_r001_reg023,3135,339140
UPMC_c002_v001_r001_reg024,1557,344428
UPMC_c002_v001_r001_reg024,1183,344008
UPMC_c002_v001_r001_reg024,4076,347347
UPMC_c002_v001_r001_reg024,1493,344357
UPMC_c002_v001_r001_reg024,1077,343887
UPMC_c002_v001_r001_reg025,1692,350021
UPMC_c002_v001_r001_reg025,4281,352806
UPMC_c002_v001_r001_reg025,4969,353582
UPMC_c002_v001_r001_reg025,1411,349732
UPMC_c002_v001_r001_reg025,2671,351051
UPMC_c002_v001_r001_reg026,3425,357363
UPMC_c002_v001_r001_reg026,904,354664
UPMC_c002_v001_r001_reg026,2001,355876
UPMC_c002_v001_r001_reg026,3705,357652
UPMC_c002_v001_r001_reg026,4706,358677
UPMC_c002_v001_r001_reg027,1206,359975
UPMC_c002_v001_r001_reg027,2679,361600
