region_id,cell_id,cluster
UPMC_c001_v001_r001_reg009,47699,1
UPMC_c001_v001_r001_reg009,45410,1
UPMC_c001_v001_r001_reg009,43056,1
UPMC_c001_v001_r001_reg009,43384,1
UPMC_c001_v001_r001_reg009,45138,1
UPMC_c001_v001_r001_reg009,42577,1
UPMC_c001_v001_r001_reg009,47999,1
UPMC_c001_v001_r001_reg009,44130,1
UPMC_c001_v001_r001_reg009,45729,1
UPMC_c001_v001_r001_reg009,43291,1
UPMC_c001_v001_r001_reg009,48201,1
UPMC_c001_v001_r001_reg009,45696,1
UPMC_c001_v001_r001_reg009,43489,1
UPMC_c001_v001_r001_reg009,47042,1
UPMC_c001_v001_r001_reg009,44730,1
UPMC_c001_v001_r001_reg009,47348,1
UPMC_c001_v001_r001_reg009,43662,0
UPMC_c001_v001_r001_reg009,43861,1
UPMC_c001_v001_r001_reg009,45173,1
UPMC_c001_v001_r001_reg009,43351,1
UPMC_c001_v001_r001_reg009,43901,1
UPMC_c001_v001_r001_reg009,48635,1
UPMC_c001_v001_r001_reg009,43040,1
UPMC_c001_v001_r001_reg009,42574,1
UPMC_c001_v001_r001_reg009,42668,0
UPMC_c001_v001_r001_reg009,47905,1
UPMC_c001_v001_r001_reg009,43922,0
UPMC_c001_v001_r001_reg009,44626,1
UPMC_c001_v001_r001_reg009,48334,1
UPMC_c001_v001_r001_reg009,48667,0
UPMC_c001_v001_r001_reg009,46130,1
UPMC_c001_v001_r001_reg009,47184,1
UPMC_c001_v001_r001_reg009,46297,1
UPMC_c001_v001_r001_reg009,45682,1
UPMC_c001_v001_r001_reg009,46351,1
UPMC_c001_v001_r001_reg009,45642,1
UPMC_c001_v001_r001_reg009,47556,1
UPMC_c001_v001_r001_reg009,44067,0
UPMC_c001_v001_r001_reg009,45485,1
UPMC_c001_v001_r001_reg009,43753,0
UPMC_c001_v001_r001_reg009,48554,1
UPMC_c001_v001_r001_reg009,43880,1
UPMC_c001_v001_r001_reg009,47944,0
UPMC_c001_v001_r001_reg009,48206,1
UPMC_c001_v001_r001_reg009,43577,1
UPMC_c001_v001_r001_reg009,46398,1
UPMC_c001_v001_r001_reg009,43087,1
UPMC_c001_v001_r001_reg009,47595,1
UPMC_c001_v001_r001_reg009,42947,0
UPMC_c001_v001_r001_reg009,47435,1
UPMC_c001_v001_r001_reg009,46891,1
UPMC_c001_v001_r001_reg009,45823,1
UPMC_c001_v001_r001_reg009,45081,1
UPMC_c001_v001_r001_reg009,43113,1
UPMC_c001_v001_r001_reg009,43252,1
UPMC_c001_v001_r001_reg009,46693,1
UPMC_c001_v001_r001_reg009,44778,1
UPMC_c001_v001_r001_reg009,45438,1
UPMC_c001_v001_r001_reg009,48292,1
UPMC_c001_v001_r001_reg009,43935,1
UPMC_c001_v001_r001_reg009,46636,1
UPMC_c001_v001_r001_reg009,47521,1
UPMC_c001_v001_r001_reg009,43418,1
UPMC_c001_v001_r001_reg009,47906,1
UPMC_c001_v001_r001_reg009,47691,1
UPMC_c001_v001_r001_reg009,47803,0
UPMC_c001_v001_r001_reg009,48588,1
UPMC_c001_v001_r001_reg009,43126,1
UPMC_c001_v001_r001_reg009,47432,1
UPMC_c001_v001_r001_reg009,46007,1
UPMC_c001_v001_r001_reg009,42681,1
UPMC_c001_v001_r001_reg009,48121,1
UPMC_c001_v001_r001_reg009,46428,1
UPMC_c001_v001_r001_reg009,48210,1
UPMC_c001_v001_r001_reg009,43493,0
UPMC_c001_v001_r001_reg009,43294,1
UPMC_c001_v001_r001_reg009,43227,1
UPMC_c001_v001_r001_reg009,46451,1
UPMC_c001_v001_r001_reg009,43240,1
UPMC_c001_v001_r001_reg009,43964,0
UPMC_c001_v001_r001_reg009,47268,0
