CELL_ID,X,Y
1229,1625,631
1221,1704,628
1231,772,632
1237,950,634
1227,511,630
1218,1008,625
1244,1147,635
1228,1284,632
1233,1882,631
1241,2393,637
1235,2455,635
1239,146,635
1252,811,641
1238,76,637
1246,1334,639
1250,2519,640
1243,57,637
1232,1782,631
1251,375,640
1260,402,645
1266,744,646
1253,931,642
1247,965,640
1249,2310,640
1257,2352,642
1245,633,639
1242,2415,638
1258,131,644
1268,715,650
1254,1165,642
1270,1357,649
1275,1401,651
1264,6,648
1261,450,646
1271,1435,649
1256,498,643
1269,1313,649
1248,1702,639
1255,2503,641
1265,173,647
1262,835,645
1259,1215,642
1272,1502,651
1273,1241,650
1278,1984,653
1276,2044,651
1283,543,654
1287,2332,656
1267,2675,647
1263,2559,645
1277,2082,652
1284,595,655
1279,2097,655
1274,22,651
1286,2135,657
1290,2267,658
1280,2369,653
1282,90,655
1281,385,654
1285,1282,656
1293,68,663
1288,958,659
1295,999,664
1289,2202,659
1304,2226,666
1296,1026,663
1297,1192,662
1292,1214,661
1291,2526,659
1326,2160,674
1294,364,661
1302,558,667
1305,2304,666
1307,525,667
1300,339,666
1303,763,666
1299,1598,665
1311,1697,665
1313,2353,670
1298,729,666
1318,1453,671
1309,1829,668
1328,581,673
1332,2489,675
1315,411,671
1301,490,667
1337,1475,677
1308,1678,668
1316,663,671
1329,966,674
1324,1344,675
1310,1563,669
1325,1919,673
1306,2579,668
1317,882,671
1322,1178,673
1320,2037,671
1327,352,675
1334,1161,674
1330,1241,674
1331,1795,675
1314,382,671
1319,748,672
1321,1102,672
1312,1707,672
1339,2420,679
1341,323,679
1348,1051,682
1336,1290,676
1323,1305,673
1343,2279,679
1349,2394,683
1333,502,676
1342,1223,680
1335,1661,676
1338,1870,677
1355,397,681
1344,1143,682
1350,116,684
1356,1274,685
1345,1551,681
1354,228,685
1347,536,683
1369,77,689
1340,255,681
1351,279,684
1346,2129,682
1357,1884,686
1359,793,687
1365,1102,691
1353,1194,684
1358,371,687
1362,1256,688
1364,567,689
1352,755,683
1363,1420,687
1384,861,697
1371,956,691
1360,997,687
1366,2041,690
1372,1306,691
1370,704,692
1373,339,690
1367,387,691
1379,1209,695
1374,2079,693
1375,99,694
1361,976,688
1368,1562,691
1382,548,695
1385,1540,696
1390,1809,699
1376,623,695
1395,604,698
1377,1165,694
1378,1181,696
1400,309,702
1394,353,701
1380,1920,694
1392,588,700
1383,1242,696
1402,943,705
1389,1137,700
1399,2588,702
1396,772,701
1413,1008,707
1393,149,699
1388,686,698
1386,1725,697
1387,1898,697
1381,2377,695
1398,1315,704
1391,2449,698
1397,1610,700
1405,1999,703
1416,2279,709
1411,2414,706
1417,288,711
1414,1232,707
1410,1364,704
1403,1662,704
1401,654,703
1425,1331,712
1406,332,708
1419,429,710
1407,740,707
1408,1156,706
1415,1272,708
1442,1352,717
1418,2094,711
1430,898,715
1404,1452,705
1426,1956,712
1412,320,707
