,cv,entropy,nonzero_ratio
STEAP4,3.3012116,8.429273,0.08615156751419403
MARCO,3.3382034,8.397245,0.08417674648235003
MCEMP1,3.371694,8.373393,0.08294248333744754
TMC5,3.3671489,8.373438,0.08269563070846704
GYPA,3.4117787,8.340782,0.08096766230560355
BANK1,3.4319434,8.325981,0.08022710441866206
EHF,3.434645,8.322822,0.07998025178968156
SELL,3.4416087,8.315748,0.07948654653172056
TNFRSF17,3.4612453,8.301483,0.07874598864477907
COL5A2,3.4737535,8.291908,0.07825228338681807
GZMB,3.4763467,8.288736,0.07800543075783757
INMT,3.47908,8.287635,0.07800543075783757
LILRB4,3.4826899,8.283799,0.07775857812885707
CYP2A7,3.4849455,8.283251,0.07775857812885707
DUSP2,3.4781008,8.285863,0.07775857812885707
RERGL,3.5048304,8.268771,0.07701802024191558
LTBP2,3.5072668,8.267775,0.07701802024191558
VWF,3.5298471,8.249896,0.07603060972599358
EPCAM,3.5430403,8.2380905,0.07529005183905209
PDGFRB,3.5657482,8.22222,0.0745494939521106
ARFGEF3,3.566963,8.219557,0.0743026413231301
APCDD1,3.6156223,8.186751,0.0728215255492471
SOX17,3.6190128,8.182941,0.0725746729202666
ALDH1A3,3.6322966,8.170779,0.07183411503332511
FBLN1,3.6621919,8.15494,0.07134040977536411
FCN1,3.6613076,8.149782,0.07084670451740312
C5orf46,3.6971946,8.12171,0.06936558874352011
MMRN1,3.7485735,8.0874605,0.06788447296963712
TSPAN19,3.775693,8.06732,0.06689706245371513
GLYATL1,3.7790728,8.063486,0.06665020982473463
KLRD1,3.787217,8.060514,0.06665020982473463
PCOLCE,3.79987,8.050713,0.06615650456677363
COCH,3.808186,8.044948,0.06590965193779313
HEPACAM2,3.8322237,8.028357,0.06516909405085164
CCR7,3.8465464,8.020468,0.06492224142187114
ECSCR,3.8928852,7.987749,0.06344112564798815
FGFBP1,3.91609,7.971272,0.06270056776104665
IL3RA,3.9084358,7.973749,0.06270056776104665
MMRN2,3.9327877,7.959644,0.06220686250308566
GPC1,3.930608,7.957737,0.06196000987410516
LYVE1,3.9474468,7.9488683,0.06171315724512466
PLD4,3.9934623,7.9156017,0.06023204147124167
DPT,4.005117,7.9089766,0.05998518884226117
ASCL3,4.0226054,7.8970356,0.059491483584300175
SERPINB3,4.019317,7.897852,0.059491483584300175
ADGRE1,4.023988,7.89643,0.059491483584300175
SMIM24,4.035812,7.889398,0.05924463095531968
SOX2,4.0347934,7.8897624,0.05924463095531968
MZB1,4.0430155,7.8839765,0.05899777832633918
ASPN,4.075329,7.8610034,0.05801036781041718
SPIB,4.1013603,7.8432903,0.05726980992347568
TMEM100,4.124051,7.8294263,0.056776104665514686
CD1E,4.1230717,7.8297353,0.056776104665514686
PROX1,4.155614,7.8093987,0.05603554677857319
RND1,4.1578617,7.805624,0.05578869414959269
CYP2B6,4.1563935,7.805901,0.05578869414959269
CD274,4.157386,7.805836,0.05578869414959269
GNLY,4.1784267,7.79528,0.055541841520612194
CFHR1,4.2246203,7.764371,0.0543075783757097
DNAAF1,4.226177,7.763882,0.0543075783757097
CD300E,4.2278714,7.759915,0.0540607257467292
S100A1,4.2244363,7.761307,0.0540607257467292
SLC4A1,4.2471704,7.7505827,0.053813873117748705
SNCA,4.2463264,7.750549,0.053813873117748705
TIMP4,4.2599907,7.7428675,0.053567020488768206
SFRP4,4.283945,7.7320395,0.05332016785978771
ADH1C,4.2729645,7.732239,0.05307331523080721
PLAC9,4.288556,7.72374,0.05282646260182671
MLPH,4.3551073,7.6789627,0.05109849419896322
TM4SF4,4.3593574,7.677433,0.05109849419896322
SLC26A3,4.376846,7.6652718,0.05060478894100222
PTGDS,4.4133453,7.646401,0.05011108368304122
CLCA2,4.432554,7.633265,0.049617378425080225
MS4A2,4.4401455,7.627559,0.049370525796099726
GDF15,4.4330993,7.629757,0.049370525796099726
RAPGEF3,4.471514,7.610512,0.04887682053813873
FGFBP2,4.4639587,7.6128016,0.04887682053813873
