,cv,entropy,nonzero_ratio
NegControlCodeword_0514,109.420135,4.2416773,8.423516685213181e-05
BLANK_0237,109.576805,4.2394586,8.423516685213181e-05
BLANK_0435,112.36574,4.1642637,7.980173701780909e-05
BLANK_0318,112.619125,4.1609645,7.980173701780909e-05
BLANK_0310,112.95777,4.1569767,7.980173701780909e-05
NegControlProbe_00016,112.35226,4.164507,7.980173701780909e-05
BLANK_0231,112.8377,4.1585774,7.980173701780909e-05
BLANK_0075,115.65691,4.0815034,7.536830718348636e-05
NegControlCodeword_0504,115.40038,4.084677,7.536830718348636e-05
BLANK_0478,118.94818,3.997275,7.093487734916364e-05
BLANK_0458,119.18418,3.9944127,7.093487734916364e-05
BLANK_0463,119.26232,3.993203,7.093487734916364e-05
NegControlCodeword_0531,119.07703,3.9957323,7.093487734916364e-05
BLANK_0369,123.59313,3.895817,6.65014475148409e-05
BLANK_0459,123.22317,3.9001205,6.65014475148409e-05
BLANK_0440,123.182144,3.9004192,6.65014475148409e-05
NegControlProbe_00031,123.430336,3.8979375,6.65014475148409e-05
BLANK_0298,123.66963,3.894528,6.65014475148409e-05
BLANK_0429,122.992676,3.9024274,6.65014475148409e-05
BLANK_0389,127.47007,3.8010745,6.206801768051819e-05
NegControlCodeword_0506,127.36769,3.8023124,6.206801768051819e-05
NegControlProbe_00002,127.9954,3.7954607,6.206801768051819e-05
BLANK_0373,127.36762,3.8023446,6.206801768051819e-05
BLANK_0366,127.40397,3.801963,6.206801768051819e-05
BLANK_0454,132.56499,3.6912353,5.763458784619545e-05
BLANK_0353,132.41035,3.6926186,5.763458784619545e-05
BLANK_0410,132.11652,3.6960618,5.763458784619545e-05
BLANK_0360,132.37007,3.693421,5.763458784619545e-05
BLANK_0441,137.67778,3.5788252,5.3201158011872725e-05
BLANK_0437,137.63527,3.5792763,5.3201158011872725e-05
NegControlCodeword_0512,137.55734,3.5800617,5.3201158011872725e-05
NegControlProbe_00041,137.41634,3.5815713,5.3201158011872725e-05
BLANK_0417,137.85803,3.576817,5.3201158011872725e-05
NegControlProbe_00019,138.10843,3.5742855,5.3201158011872725e-05
BLANK_0404,137.57663,3.5798466,5.3201158011872725e-05
BLANK_0396,137.75618,3.5780888,5.3201158011872725e-05
BLANK_0473,137.42186,3.5815938,5.3201158011872725e-05
BLANK_0381,137.39093,3.581848,5.3201158011872725e-05
BLANK_0493,144.17413,3.4497058,4.876772817755e-05
BLANK_0212,143.48314,3.4564815,4.876772817755e-05
BLANK_0408,144.10947,3.4501219,4.876772817755e-05
BLANK_0358,143.5922,3.4554086,4.876772817755e-05
BLANK_0398,144.78812,3.4444535,4.876772817755e-05
BLANK_0379,144.50897,3.447063,4.876772817755e-05
BLANK_0443,143.6051,3.4552622,4.876772817755e-05
BLANK_0479,150.40993,3.3197103,4.433429834322727e-05
BLANK_0351,150.70293,3.3168392,4.433429834322727e-05
BLANK_0128,150.35432,3.3202682,4.433429834322727e-05
BLANK_0456,150.71494,3.3168178,4.433429834322727e-05
BLANK_0364,150.60829,3.3177733,4.433429834322727e-05
BLANK_0400,150.76685,3.316325,4.433429834322727e-05
NegControlCodeword_0521,150.60287,3.3178737,4.433429834322727e-05
BLANK_0181,150.7908,3.3161075,4.433429834322727e-05
BLANK_0395,151.05688,3.3135924,4.433429834322727e-05
BLANK_0468,151.18872,3.3123257,4.433429834322727e-05
BLANK_0484,151.12419,3.3130352,4.433429834322727e-05
BLANK_0455,158.85641,3.1649194,3.9900868508904546e-05
BLANK_0119,159.05894,3.1629376,3.9900868508904546e-05
BLANK_0486,159.2866,3.1611013,3.9900868508904546e-05
NegControlCodeword_0539,158.60345,3.1672401,3.9900868508904546e-05
BLANK_0477,158.98978,3.1636622,3.9900868508904546e-05
BLANK_0423,158.69572,3.1663933,3.9900868508904546e-05
