,cv,nonzero_ratio
GLMP,2.4214183401871527,0.21044382115162513
GLO1,2.2109849783551563,0.25138178518396304
GLOD4,3.44369668603894,0.11041907276027058
GLOD5,26.557030369924604,0.0018767530110542815
GLP1R,86.06328420926067,0.00016498927569707968
GLP2R,51.54737942068187,0.0004124731892426992
GLRA1,59.922480787305076,0.0003093548919320244
GLRA2,25.406823230510188,0.0017117637353572018
GLRA3,21.656148703212533,0.0028254413463124897
GLRA4,132.11616100995542,6.187097838640488e-05
GLRB,11.963863026049436,0.009012539184952978
GLRX,3.0361046796243043,0.1493565418247814
GLRX2,3.9670808448658637,0.08993977891437056
GLRX3,2.1520769621702933,0.29883682560633557
GLRX3P2,25.123955738061603,0.001670516416432932
GLRX5,3.375679187418397,0.1184004289721168
GLS,2.833138314933725,0.15212011219270746
GLS2,7.498332078357019,0.023469724467909587
GLT1D1,12.192522410753336,0.008930044547104438
GLT6D1,73.76673106654096,0.00022686025408348456
GLT8D1,4.170000806318605,0.07537947533410329
GLT8D2,8.537476222851828,0.017736347137436066
GLTP,3.156716955094279,0.13281636693614915
GLTPD2,35.230302349092646,0.001031182973106748
GLUD1,2.6927549839347815,0.17577544959577626
GLUD1P2,20.712795251416235,0.00286668866523676
GLUD1P3,16.053293964517568,0.004805312654677446
GLUD2,26.83857468103891,0.0017942583732057417
GLUL,1.548412056713855,0.5123948193367431
GLULP3,220.19763849776825,2.062365946213496e-05
GLULP4,155.70163775628427,4.124731892426992e-05
GLYAT,77.84600182416635,0.00016498927569707968
GLYATL1,38.913365313234145,0.0007218280811747236
GLYATL1B,164.12427540670132,4.124731892426992e-05
GLYATL1P1,220.1976384977717,2.062365946213496e-05
GLYATL1P2,220.19763849776467,2.062365946213496e-05
GLYATL2,53.92847114467164,0.0003712258703184293
GLYATL3,46.568211637000005,0.000536215146015509
GLYCTK,9.765858755468713,0.013240389374690645
GLYCTK-AS1,39.91110364010755,0.0006599571027883187
GLYR1,3.608017782227864,0.09942666226695265
GM2A,2.419579226098141,0.23009816861903976
GM2AP2,220.19763849777027,2.062365946213496e-05
GMCL1,3.3084919035247973,0.1173279986800858
GMDS,3.0026806256175913,0.14756228345157565
GMDS-DT,5.4782530635250595,0.04341280316779409
GMEB1,6.980019535153761,0.02765632733872298
GMEB2,5.164685080279391,0.05091981521201122
GMFB,4.1770386240528605,0.0687799043062201
GMFBP1,220.1976384977737,2.062365946213496e-05
GMFG,2.992952089078937,0.16707226530275532
GMIP,4.371196986475349,0.06440768850024749
GML,45.653798885154565,0.0006187097838640488
GMNC,38.51397837944203,0.0007630754000989935
GMNN,3.8664935261879365,0.09125969311994721
GMPPA,4.490543679782016,0.06389209701369411
GMPPB,4.4387376971934644,0.06319089259198152
GMPR,10.572611797315014,0.011755485893416929
GMPS,3.2961260051131496,0.1165030523016004
GMPSP1,10.240921682471846,0.0101468404553704
GNA11,2.9366529851300625,0.14366441181323214
GNA12,3.4815145353416064,0.10614997525160864
GNA13,2.9770858510137206,0.14005527140735852
GNA14,12.312313557883716,0.008249463784853984
GNA14-AS1,38.672253747060424,0.0007012044217125887
GNA15,4.208374974075278,0.07461639993400429
GNAI1,3.942451400296788,0.08160782049166804
GNAI2,1.9872731440216205,0.3275862068965517
GNAI3,2.8864932450260423,0.15183138096023757
GNAL,7.957025427105634,0.02041742286751361
GNAO1,19.826842447623726,0.003712258703184293
GNAQ,3.3159656590902458,0.11334763240389374
GNAS,1.6126605045030364,0.46704339217950835
GNAS-AS1,23.28230229164579,0.002247978881372711
GNAT1,220.1976384977778,2.062365946213496e-05
GNAT2,53.554761002485414,0.00043309684870483417
GNAT3,77.52360344378663,0.00018561293515921464
GNAZ,16.03998908977316,0.005135291206071605
GNB1,1.6651112986844405,0.44495545289556176
GNB1L,6.276791292481053,0.0342146510476819
GNB2,2.0088739939196874,0.314180828246164
GNB3,13.276539809932315,0.007197657152285102
GNB4,2.9093843853818893,0.14506682065665732
GNB5,5.751436209311777,0.04079359841610295
