,cv,entropy,nonzero_ratio
ACE2,8.084092,9.147567,0.015224765618739818
UBE2C,8.212446,9.103502,0.014770693661689682
SH2D3C,8.266241,9.0847225,0.01458372285584551
CD8A,8.279396,9.081632,0.014557012740724913
TOP2A,8.33198,9.06155,0.014343331819760143
CD2,8.350129,9.057276,0.014316621704639546
SFTA2,8.3455515,9.056631,0.014289911589518952
CCR2,8.422318,9.032704,0.014076230668554181
RBP5,8.462633,9.017751,0.013915969977830605
AR,8.470131,9.014955,0.013889259862710009
KLRB1,8.5271635,8.997149,0.01372899917198643
SNCA,8.527934,8.995696,0.013702289056865834
SNAI1,8.590789,8.975027,0.013515318251021662
IL2RA,8.601264,8.9718275,0.013488608135901066
CD69,8.648761,8.958385,0.01338176767541868
HEPACAM2,8.687025,8.951172,0.013355057560298086
INS,8.661667,8.9532175,0.01332834744517749
S100A1,8.71843,8.93241,0.013114666524212719
CFAP53,8.892038,8.877839,0.012633884452041989
RAMP2,8.9097395,8.869781,0.0125537541066802
CLECL1,8.944881,8.859546,0.01247362376131841
EDNRB,8.9679,8.852785,0.012420203531077218
TIMP4,8.976175,8.852057,0.012420203531077218
EGFL7,9.005347,8.840731,0.012313363070594835
CPA3,9.047689,8.827856,0.01220652261011245
IL3RA,9.100742,8.813402,0.012099682149630064
ELF5,9.123084,8.803403,0.01199284168914768
SST,9.152895,8.795302,0.011939421458906488
BMX,9.213382,8.786459,0.011939421458906488
CENPF,9.163045,8.792352,0.011912711343785892
DUSP2,9.301023,8.749989,0.011565479847218141
CYP2B6,9.340393,8.73726,0.011458639386735758
DERL3,9.346532,8.734558,0.011431929271615161
FGFBP1,9.369225,8.727129,0.011378509041373969
HES4,9.455866,8.700556,0.011164828120409198
MMRN1,9.554734,8.671566,0.01095114719944443
TMEM100,9.658595,8.642081,0.01073746627847966
OGN,9.747191,8.614868,0.010523785357514892
CCR7,9.79554,8.600494,0.010416944897032506
CCNB2,9.908677,8.56922,0.010203263976067738
