CELL_ID,CELL_TYPE
67683,Tumor (Podo+)
67684,Stromal / Fibroblast
67685,Granulocyte
67686,Granulocyte
67687,Granulocyte
67688,Lymph vessel
67689,Tumor (CD20+)
67690,Tumor (CD15+)
67691,Granulocyte
67692,Vessel
67693,Macrophage
67694,Tumor (Ki67+)
67695,Macrophage
67696,Granulocyte
67697,Tumor (Ki67+)
67698,Macrophage
67699,Granulocyte
67700,CD4 T cell
67701,Tumor (Podo+)
67702,Tumor (CD20+)
67703,Tumor (CD15+)
67704,Macrophage
67705,CD8 T cell
67706,CD4 T cell
67707,Tumor (Podo+)
67708,Granulocyte
67709,Granulocyte
67710,Vessel
67711,Granulocyte
67712,Granulocyte
67713,Tumor (CD20+)
67714,Tumor
67715,CD8 T cell
67716,Macrophage
67717,Vessel
67718,Macrophage
67719,Tumor (CD15+)
67720,Tumor (CD20+)
67721,Macrophage
67722,Vessel
67723,Tumor (Podo+)
67724,CD8 T cell
67725,CD4 T cell
67726,CD8 T cell
67727,CD4 T cell
67728,Macrophage
67729,Granulocyte
67730,Granulocyte
67731,Tumor (Ki67+)
67732,Stromal / Fibroblast
67733,Granulocyte
67734,Vessel
67735,Granulocyte
67736,Tumor
67737,Tumor
67738,Tumor (Podo+)
67739,Vessel
67740,Stromal / Fibroblast
67741,Granulocyte
67742,Granulocyte
67743,Tumor (CD20+)
67744,CD4 T cell
67745,Stromal / Fibroblast
67746,Stromal / Fibroblast
67747,Macrophage
67748,Granulocyte
67749,Tumor (Ki67+)
67750,Tumor (Ki67+)
67751,Tumor
67752,Tumor (Podo+)
67753,Tumor (CD21+)
67754,Tumor (Ki67+)
67755,Macrophage
67756,Tumor (Ki67+)
67757,Stromal / Fibroblast
67758,CD4 T cell
67759,Naive immune cell
67760,Tumor
67761,Naive immune cell
67762,Tumor (Podo+)
67763,CD8 T cell
67764,CD4 T cell
67765,CD4 T cell
67766,Macrophage
67767,Tumor (CD20+)
67768,Macrophage
67769,Macrophage
67770,Macrophage
67771,Granulocyte
67773,Vessel
67774,Vessel
67775,Vessel
67776,Tumor (CD15+)
67777,Tumor (CD15+)
67778,Macrophage
67779,Vessel
67780,Naive immune cell
67781,Macrophage
67782,Tumor (CD20+)
67783,Macrophage
67784,CD8 T cell
67785,Macrophage
67786,CD4 T cell
67787,Granulocyte
67788,Tumor
67789,Vessel
67790,Tumor (CD20+)
67791,Granulocyte
67792,Tumor (CD21+)
67793,CD4 T cell
67794,Granulocyte
67795,Tumor
67796,Tumor (Podo+)
67797,Tumor (CD20+)
