CELL_ID,CLUSTER_LABEL
1211,Tumor (Podo+)
1212,Stromal / Fibroblast
1213,Tumor (CD20+)
1214,Tumor (Podo+)
1216,Stromal / Fibroblast
1217,Macrophage
1218,Tumor (Podo+)
1219,Tumor (CD20+)
1220,Tumor (CD21+)
1221,Granulocyte
1222,Tumor
1223,Stromal / Fibroblast
1224,Vessel
1225,Stromal / Fibroblast
1226,Tumor (Podo+)
1227,B cell
1228,Tumor (Podo+)
1229,Tumor (Podo+)
1230,Tumor
1231,Stromal / Fibroblast
1232,Stromal / Fibroblast
1233,Tumor (Podo+)
1235,Tumor
1236,Tumor (CD20+)
1237,Tumor (Ki67+)
1238,Tumor (Ki67+)
1239,Stromal / Fibroblast
1240,Tumor (CD20+)
1241,Tumor
1242,Tumor (CD21+)
1243,Stromal / Fibroblast
1244,CD4 T cell
1245,Vessel
1246,Tumor (Podo+)
1247,Tumor
1248,Granulocyte
1249,Tumor
1250,Granulocyte
1251,Macrophage
1252,Tumor (CD20+)
1253,Tumor (CD21+)
1254,Macrophage
1255,Granulocyte
1257,Tumor (Podo+)
1258,Macrophage
1259,Tumor (Ki67+)
1260,Vessel
1262,Tumor
1263,Granulocyte
1264,Stromal / Fibroblast
1265,Macrophage
1266,Stromal / Fibroblast
1267,Granulocyte
1268,Tumor
1269,Tumor (Podo+)
1270,Tumor (CD21+)
1271,APC
1272,Tumor (Ki67+)
1273,Tumor (Podo+)
1274,Stromal / Fibroblast
1275,Tumor (CD21+)
1276,Tumor (Ki67+)
1277,Tumor (Ki67+)
1278,Tumor
1279,Tumor
1280,Tumor (Podo+)
1281,Vessel
1282,Tumor (Ki67+)
1283,Macrophage
